,genre,percentage
0,History,1.574803149606299
1,Romance,2.3622047244094486
2,News,1.574803149606299
3,Horror,6.299212598425196
4,Family,6.299212598425196
5,Animation,4.724409448818897
6,Action,4.724409448818897
7,Biography,4.724409448818897
8,Musical,2.3622047244094486
9,Mystery,2.3622047244094486
10,Music,0.7874015748031495
11,Adult,4.724409448818897
12,Sci-Fi,3.937007874015748
13,Film-Noir,14.960629921259844
14,Western,3.149606299212598
15,Game-Show,0.7874015748031495
16,Reality-TV,1.574803149606299
17,Comedy,11.811023622047244
18,Adventure,2.3622047244094486
19,Drama,9.448818897637794
20,Documentary,4.724409448818897
21,Crime,1.574803149606299
22,Short,3.149606299212598
