,startYear,averageRating
132,1888,6.25
134,1889,6.2
2,1893,7.1499999999999995
0,1894,6.489393939393942
3,1895,6.359999999999999
4,1896,6.308552631578943
6,1897,6.557160804020107
5,1898,6.626195028680685
8,1899,6.681726457399111
7,1900,7.230788177339904
9,1901,7.076138828633406
12,1902,7.174798619102411
11,1903,6.7965180207697
10,1904,6.966306695464361
13,1905,6.7262295081967185
16,1906,6.870414201183427
15,1907,6.729174311926602
17,1908,6.629366106080215
19,1909,6.6602459016393505
18,1910,6.791680719505345
21,1911,6.7713702190865135
14,1912,6.864645039962395
22,1913,6.818266978922723
20,1914,6.790803465931477
23,1915,6.760364506627391
25,1916,6.784039748529704
26,1917,6.738246268656701
27,1918,6.590497737556558
24,1919,6.590003757985746
30,1920,6.661289267015701
32,1921,6.7338211382113915
31,1922,6.696822358346099
33,1923,6.658162821070965
34,1924,6.696255506607935
29,1925,6.645788798631897
36,1926,6.611722772277216
37,1927,6.625030132583361
35,1928,6.708536064874089
38,1929,6.710856619331199
41,1930,6.680675255442027
45,1931,6.593783068783072
46,1932,6.578845325290819
43,1933,6.500223214285704
44,1934,6.529579316389127
40,1935,6.496815286624197
28,1936,6.5538062973296105
48,1937,6.525059571088169
50,1938,6.548142031379018
47,1939,6.497995444191347
55,1940,6.537627291242362
60,1941,6.524526369687664
42,1942,6.484101265822784
64,1943,6.493513818386927
56,1944,6.493373493975915
52,1945,6.518757921419536
54,1946,6.5676453655728215
58,1947,6.545113576333863
65,1948,6.5668341708542775
57,1949,6.640379113018607
49,1950,6.65342066957788
51,1951,6.69862836438925
61,1952,6.722185135736541
68,1953,6.7455960591133035
69,1954,6.765479609419862
74,1955,6.7987646186789865
76,1956,6.776666123513116
63,1957,6.803741183685956
59,1958,6.817670376581794
66,1959,6.841021276595743
77,1960,6.824805786230909
72,1961,6.8166795665634545
75,1962,6.834510869565195
81,1963,6.769055374592845
78,1964,6.8528813995369156
70,1965,6.824122860264645
86,1966,6.843072656683284
79,1967,6.798899662272589
80,1968,6.826994270603771
82,1969,6.791994692613883
62,1970,6.8124880535202355
84,1971,6.819735558686492
85,1972,6.7840271389144196
71,1973,6.804084230012714
92,1974,6.802397543403785
95,1975,6.768487102021818
88,1976,6.795763723150341
97,1977,6.8164700158131595
96,1978,6.804989877337137
91,1979,6.8024669909659226
100,1980,6.785770705076053
93,1981,6.841305826343256
104,1982,6.77741828986464
53,1983,6.774169020204203
103,1984,6.789708855640899
83,1985,6.762544136777583
90,1986,6.846844332402947
106,1987,6.800197323266965
94,1988,6.786017746706113
98,1989,6.805778054281048
89,1990,6.79447591026112
105,1991,6.79408454768433
87,1992,6.740075419951991
39,1993,6.787945894935507
107,1994,6.81460932559074
73,1995,6.8222838430254225
116,1996,6.863155822423466
114,1997,6.850092178035305
111,1998,6.8767044997182545
109,1999,6.918666419707389
118,2000,7.0069364361427375
67,2001,7.074261760596201
113,2002,7.104002698448426
122,2003,7.033579794850128
115,2004,6.989530852784854
110,2005,6.992861530288626
124,2006,7.1182367092036065
123,2007,7.15764929099262
121,2008,7.1365025466893
120,2009,7.116868381240548
101,2010,7.177812828601478
127,2011,7.214628297362105
126,2012,7.355809859154934
119,2013,7.253485064011377
112,2014,7.142973856209148
128,2015,7.217008797653953
125,2016,7.3173775671406025
117,2017,7.290294438386041
102,2018,7.255374032674116
108,2019,7.26960435419717
131,2020,7.175294117647061
130,2021,6.466666666666666
135,2022,8.3
99,\N,7.032182728089306
