,year,documentary,film-noir,short,comedy,drama,romance,talkshow
0,1895,53,0,116,8,6,0,0
1,1896,576,0,839,40,10,1,0
2,1897,815,0,1351,113,24,1,0
3,1898,1153,0,1747,191,35,3,0
4,1899,1166,0,1787,201,63,4,0
5,1900,1255,0,1823,232,66,1,0
6,1901,1335,0,1754,163,40,3,0
7,1902,1176,0,1799,230,32,0,0
8,1903,1644,0,2663,429,124,8,0
9,1904,989,0,1826,344,86,2,0
10,1905,917,0,1680,367,111,3,0
11,1906,921,0,1821,407,148,5,0
12,1907,775,0,2461,733,307,10,0
13,1908,951,0,4246,1088,811,28,0
14,1909,1071,0,5328,1359,1270,41,0
15,1910,1234,0,6276,1621,1738,160,0
16,1911,1515,0,7501,1958,2203,236,0
17,1912,975,0,8129,2580,2951,395,0
18,1913,1007,0,8917,2994,3413,339,0
19,1914,533,0,7866,3032,3346,248,0
20,1915,557,0,6841,2721,3226,207,0
21,1916,530,0,4902,2219,2143,158,2
22,1917,588,0,3377,1656,1459,120,0
23,1918,621,0,2455,1199,1121,153,0
24,1919,413,0,1658,1075,1032,149,0
25,1920,389,0,1826,1274,913,98,0
26,1921,377,0,1593,996,727,129,0
27,1922,313,0,1393,908,724,161,0
28,1923,258,0,1074,756,657,115,0
29,1924,245,0,1130,797,638,122,0
30,1925,363,0,1286,931,680,158,0
31,1926,266,0,1314,981,871,234,0
32,1927,348,1,1321,1027,903,205,0
33,1928,320,2,1297,908,959,200,0
34,1929,270,2,1493,857,865,188,0
35,1930,241,1,1046,792,788,263,0
36,1931,217,3,950,820,891,230,3
37,1932,397,4,845,727,819,219,0
38,1933,379,1,779,758,774,227,0
39,1934,283,1,892,769,792,277,0
40,1935,294,2,806,745,797,291,0
41,1936,527,5,873,835,859,255,2
42,1937,607,9,958,853,910,316,12
43,1938,478,4,912,875,911,288,11
44,1939,398,9,776,703,845,214,5
45,1940,334,8,674,615,717,202,0
46,1941,363,14,800,664,585,202,0
47,1942,403,22,778,612,582,191,0
48,1943,401,9,711,522,527,158,0
49,1944,308,26,691,445,468,157,0
50,1945,404,38,726,395,466,130,0
51,1946,411,58,744,534,681,167,3
52,1947,428,64,726,615,831,163,11
53,1948,406,53,760,673,943,181,77
54,1949,424,67,784,1014,1462,213,102
55,1950,529,65,800,1380,2000,216,205
56,1951,573,52,835,1617,2557,272,301
57,1952,644,34,865,1732,2876,282,120
58,1953,720,32,934,2302,3271,317,110
59,1954,742,28,929,2785,4549,504,144
60,1955,923,54,1098,2908,4693,341,163
61,1956,806,48,1002,2759,4877,535,248
62,1957,1032,40,1142,2838,4719,412,477
63,1958,1033,27,1070,3014,4752,435,595
64,1959,1052,0,1013,3046,4679,374,528
65,1960,1187,0,1166,3476,5034,477,443
66,1961,1412,0,1311,3741,5227,516,646
67,1962,1544,0,1296,3741,4269,535,1040
68,1963,1671,0,1545,4009,4941,994,723
69,1964,1645,0,1557,4039,5393,1373,905
70,1965,1514,0,1479,4740,6530,1989,1087
71,1966,1573,0,1531,4529,6892,2157,930
72,1967,1729,0,1765,4760,6668,1643,1303
73,1968,1734,0,1562,4586,6537,1859,1410
74,1969,1915,0,1670,5179,7664,2469,1739
75,1970,1980,0,1618,5065,8810,3029,1468
76,1971,1821,0,1614,5197,9889,3937,1379
77,1972,1679,0,1495,5459,10032,3861,1385
78,1973,1728,0,1474,5905,10789,4506,1414
79,1974,1713,0,1489,5714,10892,3676,1303
80,1975,1856,0,1627,5761,9619,3899,1471
81,1976,1978,0,1596,5687,9475,3682,1411
82,1977,1854,0,1455,5420,9419,4155,1436
83,1978,1914,0,1602,4805,8825,3593,1399
84,1979,1887,0,1657,4924,8335,3590,1426
85,1980,1984,0,1758,5254,9508,4720,1599
86,1981,1881,0,1620,4949,9574,4194,1243
87,1982,1925,0,1546,5722,11508,5364,1427
88,1983,2106,0,1814,5597,10688,4447,1171
89,1984,2122,0,2268,5575,10562,4288,1203
90,1985,2434,0,2494,5704,11376,5665,1486
91,1986,2221,0,2561,6406,10514,4792,1499
92,1987,2291,0,2820,7482,11755,5919,1802
93,1988,2514,0,3061,6978,11616,5787,1578
94,1989,2626,0,3365,8465,12158,4995,2035
95,1990,2866,0,3538,8179,12898,6776,1911
96,1991,2944,0,3383,10232,13065,6287,2253
97,1992,3282,0,3367,9868,14366,7012,2738
98,1993,3548,0,3526,10556,13921,6074,3089
99,1994,3982,0,3650,11551,15889,7026,3730
100,1995,4257,0,4192,13648,16345,7728,4524
101,1996,4770,0,4576,14263,19542,9055,5105
102,1997,5304,0,4788,16036,20430,8622,5722
103,1998,6176,0,5408,17239,22405,10395,6482
104,1999,7247,0,5953,17354,24599,11761,6492
105,2000,8005,0,6564,16841,23907,9630,6439
106,2001,9403,0,7376,18386,26336,10533,7320
107,2002,10353,0,8624,19819,27957,10703,8528
108,2003,12490,0,10119,22243,32098,13112,10384
109,2004,14890,0,12610,24761,33226,15623,12704
110,2005,16676,0,15231,27195,38458,17507,15019
111,2006,18506,0,16624,32304,43594,19368,16533
112,2007,20344,0,18651,34971,48790,18775,18358
113,2008,20799,0,22525,37283,51413,18446,17769
114,2009,22076,0,26426,40738,54012,20241,18773
115,2010,24284,0,30402,45085,59749,20468,23179
116,2011,26764,0,36243,53859,64548,21140,30777
117,2012,29458,0,41982,61306,68553,19691,34660
118,2013,30621,0,46274,67681,69594,21368,40217
119,2014,31159,0,50812,71428,74932,24767,41168
120,2015,32018,0,52527,73202,74565,23197,44008
121,2016,32355,0,56993,76624,74028,22489,47746
122,2017,32004,0,58299,74707,80693,22915,46445
123,2018,29179,0,55778,66388,77289,21141,35371
124,2019,19247,0,39887,47522,57148,15110,25532
125,2020,865,0,2284,2772,4665,517,121
126,2021,44,0,51,106,189,32,0
127,2022,6,0,6,18,25,5,0
