,titleType,total_votes,occurrence,average_votes
0,short,128195167.0,711777,180.10580139566184
1,movie,336033388.0,536248,626.6380256896063
2,tvMovie,48452104.0,120424,402.34591111406365
3,tvSeries,46508106.0,174601,266.36792458233344
4,tvEpisode,323222054.0,4445415,72.70908430371517
5,tvShort,3356560.0,11569,290.133978736278
6,tvMiniSeries,9583963.0,28413,337.30908387005945
7,tvSpecial,3821457.0,26137,146.2087079618931
8,video,46669439.0,247411,188.63122092388778
9,videoGame,3751966.0,24550,152.82957230142566
